CPID,Name,Description
CP024,Thin Film Intumescent Coating,"Intumescent coatings swell during a fire to encase a substrate in a thick bark of char, which protects the substrate from burning.  In the case of structural steel, the concern is that the steel will weaken in the high heat of a fire, rather than burning.  This CP describes intumescent coatings that are factory applied to structural steel, and intended for non-corrosive/non-humid environments.  These coatings are “thin film” intumescent coatings, and tend to be solvent-based."
CP025,Oriented strand board,"Oriented Strand Board (OSB) is a structural wood panel product typically used for sheathing (roof, wall and floor), I-joists and rim boards. OSB is manufactured by debarking and cutting wood logs into strands, which are then dried and arranged in layers of alternating orientation. The strands are then glued together with waterproof adhesives, typically a combination of phenol formaldehyde and polymeric methylene diphenyl isocyanate, and cured under heat and pressure. Panels are typically constricted in three layers with the central layer oriented at a 90 degree angle to outer layers. Panels are dried and treated with a sealant along the edges for moisture resistance."
CP026,Composite Metal Decking,"Composite metal decks are used in construction as concrete reinforcement and form. These decks are made from structural grade steel conforming to ASTM A1008 for primer coated or uncoated and ASTM A653 for galvanized coated steel. These coatings provide corrosion and rust resistance during construction. The standard galvanized coating is G60, but G90 may be used for high humidity and corrosive conditions and G30 or G40 may be used for greater economy. The base steel must meet have a yield strength of at least 33 ksi (SS grade 33), but may be available up to 80 ksi (SS grade 80). Steel decks are most commonly available in steel gauges of 16, 18, 20, or 22. This CP describes an 18 gauge composite metal decking made with 33 grade structural steel with a G60 galvanized coating."
CP027,Sub-Floor Smoothing Compound,"Subfloor smoothing compounds, or underlayments, are a thinned mix of cements, sand, and water.  The mix is poured over slabs and other subfloors and spread across the floor.  It naturally collects in low spots, resulting in a level and smooth subfloor once it has hardened."
CP029,Cementitious Grouting,"ASTM C476 delineates cementitious grouts into four types, each with a specific mixing ratio. Two types are made with self consolidating formulations which do not require mechanical processes for settling, but which are relatively new to the industry and less commonly used. The other two types are considered conventional grouts, and require vibration or other mechanical application to settle the grout into place after pouring. Conventional grouts can be made with fine aggregates only (a fine grout), or with a mixture of fine and coarse aggregates (coarse grout). This CP reviews a mixture of fine and coarse aggregates (coarse grout), which is suggested to be the more cost effective option and is typically mixed on site, but may also be available in pre-blended preparations, or as a ready-mix."
CP030,Liquid-applied moisture barrier,"Various products may be used as a liquid moisture barrier, air barrier, vapor barrier or some combination of the three.  These products can be in sheet form or liquid applied.  The advantages of liquid applied barriers include that they create a continuous, seamless barrier and are flexible to accomodate building movement.  This CP describes a one component, liquid-applied, water-based, air, vapor and liquid moisture barrier.  This type of barrier can be polymer based or polymer-modified asphalt based, the latter being described here.  These barriers are applied by roller, brush, or spray and may be applied to most common surfaces, including concrete, CMU, and sheathing panels.  Intended for cavity walls to be covered with an exterior finish."
CP031,Concrete cork expansion joint,"Expansion joints are added to concrete construction to absorb the small expansions and contractions that occur when concrete is exposed to changes in temperature.  Without expansion joints, the concrete would stress, crack, and lose structural integrity.  Cork expansion joints are one type of expansion joint.  Described by ASTM D1752 as Type II, they are made of “composition cork,” or small cork granules amalgamated and bound together with a phenolic resin, and treated with heat and pressure.  The joints are placed against concrete forms at predetermined intervals prior to pouring the concrete.  Cork expansion joints are recommended where a high level of resiliency is needed, and can be sealed with various expansion joint sealant products after the surrounding concrete has cured."
CP032,Flame retardant polyurethane foam window/door seal,"Fire retardant polyurethane foam sealant is a compressed tape of polyurethane foam, impregnated with an acrylic, fire retardant resin.  The tape is coated on one side with a pressure sensitive adhesive, which is protected with a release paper.  Upon installation, the release paper is peeled and removed from the tape, exposing the adhesive and installed, adhesive-side toward the window or door casing being fit into the building opening.  Once installed, the tape slowly returns to its original, uncompressed, state, thereby forming a tight seal around the window or door."
CP033,Firestop joint spray,"Firestop joint spray is used as a fire-rated sealant in wall to wall, floor to wall, floor to floor, head of wall, curtain wall perimeter, and other construction joint applications.  The dried firestop material remains elastomeric to accomodate use in both static and dynamic joints.  Generally, mineral wool is packed into the gaps and the spray coating is applied at 1/8"" wet thickness over the insulation and adjacent substrates.  The most common product type, water-based acrylic, is outlined in this CP."
CP036,XPS Insulation (extruded polystyrene),"ASTM C578 defines extruded polystyrene (XPS) thermal insulation as a, ""cellular plastic product manufactured in a one stage process by extrusion and expansion of the base polymer in the presence of blowing agent(s) resulting in a product which is rigid with closed cellular structure."" XPS foams fall into ASTM C578 Types IV, V, VI, VII, X, XII, and XIII. Rigid XPS foam boards contain flame retardants in quantities sufficient to meet standards outlined in the ASTM standard. This CP describes unfaced, rigid XPS foam insulation boards suitable for a range of insulating applications with a minimum compression strength of 40 psi."
CP037,Fiberglass Batt Insulation,"Fiber glass batt insulation is a thermal insulating product with high thermal performance, moisture resistance, fire resistance, and is sound absorbent. Fiber glass insulation is fabricated using a molten glass batch consisting of raw materials (sand, borates, soda ash, lime) and recycled glass cullet. The molten glass is spun into fibers and an atomized binder is applied as the fibers settle onto a conveyer to form batts which are then conveyed through an oven to cure the binder. Originally phenol-based formaldehyde binders were used, but concerns about indoor air quality led to the development and use of formaldehyde-free binders by all four fiber glass insulation manufacturers (Johns Manville first, then CertainTeed, Knauf Insulation, and Owens Corning). The entire industry switched to formaldehyde-free binders by 2015 for lightweight fiberglass products. Fiber glass batts can be either unfaced or faced with a Kraft paper, foil, or polyethylene film vapor retarder. Kraft paper facing is the cheapest option that meets residential codes in California and is the vapor retarder considered in this survey. Fiber glass batt insulation is installed by placing the batts into the wall cavity and stapling the facing to the framing members. Faced insulation should not be left exposed, but covered with gypsum board."
CP038,Chromate Pretreatment for Steel,"Chromate treatments are primarily used as passivation (corrosion reduction) coatings to protect newly galvanized surfaces which are susceptible to white rust. Chromium coatings may also serve as conversion coatings which prepare the surface for paint adhesion. Chromate treatments are typically comprised of trivalent chromium; however, that alone does not provide adequate protection. Therefore, conventional chromate treatments have included hexavalent chromium residuals that would act as a sacrificial anodes and create a ""self-healing surface."" While still available, regulations have moved the market towards coatings free of hexavalent chromium, using instead cobalt (II) salts such as cobalt (II) nitrate. Chromate treatments are appropriate for a variety of metal surfaces, including those consisting of zinc, cadmium, aluminum and alloys of these metals among each other and/or with iron or other metals."
CP039,Polyester Powder Coating,"Powder coatings contain five basic ingredients: resins, cross-linkers, additives (such as flow and leveling agents), pigments, and fillers. Polyester resins for powder coatings are often a combination of two or more polyester compounds and may be crosslinked with a variety of compounds; the most common being triglycidyl isocyanurate. While not covered in this CP, similar resins may be used to form hybrid powder coatings crosslinked with epoxies, which also comprise a significant portion of the powder coatings market.  Other additives such as flow and leveling agents, which keep bubbles from forming in the coating for a smooth a consistent coating, and fillers, are premixed with the resin and crosslinker, extruded, and ground into a homogenous powder. This powder can then be applied to various surface materials most commonly via electrostatic spray and oven cured."
CP042,Concrete Masonry Unit,"Hollow concrete masonry units (CMUs), commonly referred to as “cinder blocks,” are made from hydraulic cement, water, and aggregates.  The primary difference in composition between CMUs and in-situ concrete is its drastically reduced water content (known as low or zero slump concrete).  Further, because pre-cast products are cured in a controlled environment as opposed to changing conditions in-situ, the variety of admixes found in CMUs is much smaller.  CMUs can be made in normal, medium, and lightweights, but all CMUs have the same compressive strength and can be used for load-bearing applications.  Percent calculations are based on the density and dimensions of a normal weight CMU."
CP043,Aluminum Primer,"Aluminum is a difficult substrate to coat and requires a primer coating prior to application of a high performance coating.  A “universal primer” is a primer suitable as an undercoat for top-coats based on various chemistries (epoxy, polyurethane, etc.).  In the case of aluminum, the product most suited to be a universal primer is based on an alkyd resin formulation.  This CP describes a phenol-modified alkyd resin based primer for use on aluminum substrates, and compatible with various types of high performance coatings which would be subsequently applied.				"
CP044,Anodized Aluminum Curtainwall Extrusion,"This common product describes an aluminum extrusion, anodized with a clear surface coating, as is common in curtain walls. The aluminum alloys typically used in curtain walls come from the 6xxx series, more specifically 6063 in either a T5 or T6 temper. These tempers are chemically identical, but have been put through different heat treatments to impart slightly different strength and performance characteristics. Because they are part of a building exterior, extruded aluminum for use in curtain walls includes a surface treatment. Anodized treatments and PVDF coatings are most common for this application (see PVDF-Coated Aluminum Curtainwall Extrusion).  Anodizing is a process similar to electroplating, where electrical current is passed through a conductive bath in which the item being anodized is submerged. The current accelerates the oxidizing process that would naturally occur to the aluminum if exposed to the elements over time, and produces a surface layer of protective aluminum oxide. There are several types of conductive baths that can be used, but sulfuric acid is most common. Anodizing can include the use of added colorants and dyes to create a variety of colors, however this is a review of extrusions without added colorants. After anodizing, the extrusion must be sealed.  Boiling in deionized water is the simplest technique for sealing. The end result of the anodizing process is that the surface layer of aluminum has been chemically converted into hydrated aluminum oxide, which protects the underlying aluminum from damage. The dimensions of curtain wall framing are customizable. Based on a sample review of product literature, percentages are based on a segment of anodized aluminum extrusion 24 feet long, 2.5 inches wide, 6 inches deep, and .125 inches thick. For estimation purposes, we’ve assumed a simplified geometry and have excluded grooves, etc. from our calculation of surface area."
CP048,Elastic Facade Joint Sealant,"This CP is for elastomeric sealants for use in facade applications, expansion and control joints, concrete, masonry, EIFS, etc.  It is designed to maintain an effective bond and seal between materials of similar and dissimilar surfaces, porosities, and coefficients of expansion.  In general, a primer is not required for effective adhesion.  Both silicone and polyurethane sealants are used for this application.  This CP explores one-part polyurethane sealants.  The sealant is described as an elastic, low-modulus, one-component, moisture-curing, non-sag, polyurethane sealant.  Materials meet or exceed ASTM C 920, Type S, Grade NS, Class 25, Use NT, M, A, and O."
CP051,IGU Silicone Sealant,"Silicone sealants are used as a secondary seal in dual seal insulated glass units (IGU). Most commonly single component products that do not require mixing, these sealants are based on a ""siloxane"" chemical structure of silicone and oxygen bonds, that cure to form a hardened but still flexible seal. While the primary seal in the IGU serves to contain the insulating gas/air between the panes of glass, the secondary seal provides structural support, holding the IGU together as a unit."
CP053,Curtain wall seals - Rubber (ethylene propylene diene monomer) gasket,"Ethylene/propylene/diene terpolymer (EPDM) is frequently used to make curtainwall gaskets, which form a seal between the window portion of a curtainwall and the aluminum frame. This gasket is not adhered to the glass or the framing in order to allow for shifts and expansions due to temperature change. The seal between the glass and frame is therefore not water-tight, and curtainwall frames and gaskets can be designed in various shapes and/or include draining holes to properly direct rain water and prevent water damage to interiors."
CP056,Double Pane IGU,"Insulated glass units (IGUs) designed for commercial applications can be made with a variety of glass types, specialty coatings, and spacer materials.  This CP describes a standard IGU made with two panes of uncoated, clear, flat glass, an aluminum spacer filled with a molecular sieve desiccant, and assembled with a primary seal of polyisobutylene and secondary seal of silicone.  The space between the panes of glass is filled with air only. This CP does not include any framing materials, or products required for installation.   Calculations are based on a 1 inch thick 14x14 inch IGU."
CP065,Fluid-applied rubber asphalt roofing,"Fluid applied rubber asphalt roofing is made from a variable mixture of asphalt modified with rubber polymers, filler, and additives. The asphalt is sold at room temperature in solid bricks or disks that are heated in a kettle at the job site until melted to a specific temperature. Workers then apply the hot liquid asphalt to the roofing substrate, which forms a seamless monolithic membrane that seals the roof. Depending on the roof design, stone or other layers can be added to form a built-up roof, or the asphalt layer could be the foundation for a living roof of plants. This CP describes the hot applied polymer-modified asphalt composition only."
CP069,Roof edge flashing,"Roof edge flashing is a system used with membrane roofing to hold the membrane in place at the edge of the roof.  The flashing system consists of a continuous cleat (base plate, retainer) that is mechanically fastened to the roof over the edge of the membrane. The continuous cleat can be made of galvanized steel, aluminum, stainless steel, or Galvalume.  Over the cleat, a snap on fascia piece is installed.  This piece provides the finished look and can be made of galvanized steel, Galvalume, stainless steel, or aluminum.  The fascia can either be natural mill finish, anodized aluminum, or Kynar (PVDF) coated.  The most common system was found to be a galvanized steel continuous cleat with an aluminum fascia piece where the fascia is Kynar coated.  The fascia is generally produced from coil coated aluminum sheet.  The Kynar coating system is baked onto the fascia at a high temperature, generally about 450F or higher.  Both the steel and aluminum may contain post-consumer and/or post-industrial recycled content.  The fasteners required to attach the cleat, fascia joint splice pieces, and any sealant needed for installation are not included in this CP."
CP071,EPDM membrane roofing,"This CP describes a single-ply roofing membrane constructed from Ethylene propylene diene terpolymer (EPDM), meeting a class A fire rating as described by ASTM E108 or UL 790.  Under either standard, these membranes provide the highest level of fire protection available for low slope roofs.  EPDM membranes are traditionally black in color, and are manufactured through a calendaring process that ensures the finished membrane, whatever the thickness, is watertight.  To install, the membrane is attached to the roofing substrate by a layer of adhesive.  The perimeter edges of the membrane may be secured from wind uplift by a layer of gravel and/or metal roof edging."
CP072,Exterior Door w/ IGU,"This CP describes a “Standard Half Glass” (G) exterior entry door, in dimensions derived from the Steel Door Institute. There are many configurations of exterior doors with an insulated glass unit (IGU) installed, but the G layout, Level 3 (extra heavy duty) door was cited by the Institute as a common entryway with varied applications. The CP assumes the door arrives on site with the IGU factory installed, and excludes any caulking, hardware, or other mechanics needed to make the door functional. The door is comprised of galvanized steel door skins, laminated to a polystyrene core with a polyurethane hot melt adhesive. The vertical edges of the door are spot welded and contributes no additional content to the door. The window portion of the door is comprised of a dual sealed IGU with tempered glass and the spacer and sealant materials established are as standard in the IGU Common Product (CP056). The window is held in place with a glazing frame and double sided foam glazing tape. A factory-applied primer is applied to all exposed steel surfaces."
CP074,Metal Ceiling Tile,"Metal ceiling tiles are very versatile and can be used to create unique and interesting ceiling effects.  The tiles considered in this CP are flat, lay-in tiles that would fit into a standard drop ceiling, to be used in place of a gypsum or mineral wool ceiling tile.  The advantages of metal ceiling tiles are their longer life and the minimal upkeep required as well as greater flexibility in design.  The tiles can be made of aluminum, galvanized steel, or stainless steel.  Aluminum was found to be more common in the United States.  Recycled content for the aluminum can range from 20-100%, depending on the manufacturer.  The tiles can either be bare metal with a brushed or polished finish, painted, powder coated, or laminated with another material like wood to give the desired finish.  When sound absorption is desired, the panel has perforations and a thin acoustic backing is factory applied.  Additional insulation can be used to achieve higher NRC ratings.  This CP covers a powder-coated aluminum tile for acoustical purposes with no additional insulation."
CP077,Steel Studs,"Drywall studs are used as the vertical support in wall framing and are typically made of galvanized steel. They are available in a range of widths, lengths and gauge depending on requirements for strength, height, impact resistance and sound insulation. This Common Product profile represents a metal stud suitable for non-structural wall framing and meets ASTM C 645 (Standard Specification for Nonstructural Steel Framing Members) which also includes a protective hot-dipped galvanized coating of (G40) at minimum. The characterization of the steel used in this product was created in compliance with ASTM A1003 (Sec 4, Paras 4.1-2m, Standard Specification for Steel Sheet, Carbon, Metallic- and Nonmetallic-Coated for Cold-Formed Framing Members)"
CP079,Drywall Screws,"ASTM C1002 identifies the screws used to attach drywall to steel studs as Type S: made from steel as described in ASTM A568, with fine threads, designed to be self piercing, and not less than .315 inches (8mm) in screw head diameter or .136 inches (3.45 mm) in diameter.  The screws have a flat, Phillips head, and are treated to be corrosion resistant.  This CP describes a 1 inch long #6 gauge screw."
CP081,Acrylic paint,"Acrylic paints can be used for both exterior and interior applications. “Acrylic” is a broad term that describes several polymers, and acrylic paint formulations vary from 100% acrylic, to a mixture of acrylic and PVC or styrene polymers. This CP describes a white, low-VOC acrylic paint, with a medium sheen (approximately Eggshell), that could be used for coating interior or exterior surfaces. The catalog of paint products reviewed for this CP was taken from the South Coast Air Quality Management District, which makes product recommendations with an eye toward preserving outdoor air quality. This CP does not include any tinting compounds that would be added to the paint before its application."
CP084,Drywall Joint Tape,"ASTM C475 defines joint tape as ""a strip of material used to conceal and reinforce the joint between two gypsum boards"".  This material can be paper or glass mesh.  This CP reviews the more commonly used paper type of drywall joint tape.  The paper joint tape, in general, has no adhesive of its own and is imbedded in joint compound."
CP086,Drywall Acoustical Sealant,"This CP describes a non-hardening sealant to fill gaps in wall, floor, and ceiling systems, preventing sound leakage to maintain STC (sound transmission class) ratings.  Sealant is designed to fill gaps around the perimeter, at unbacked seams, and around penetrations.  Material is applied with a standard caulk gun per ASTM C919.  The overwhelming majority of acoustical sealants for this purpose are water-based acrylic sealants, which was investigated for this CP."
CP089,Pipe Thread Sealant,"Pipe thread sealant is used to seal threaded pipe joints and lubricate and protect threads.  The sealant in this CP is a non-hardening, non-setting (non-drying) sealant with PTFE.  The non-setting sealant can be used in service where immediate pressurization is necessary and allows for easy disassembly of joints without damage to pipe or threads.  The PTFE contributes a low coefficient of friction which allows for tighter joint makeup with lower torque.  These sealants are used for threaded metal piping (including steel and copper) as well as some threaded plastic piping.  The pipe thread sealant can be used in a variety of applications, including plumbing and fire sprinker systems."
CP090,Steel Pipe Hanger,"Channel struts provide a steel track from which pipe hangers and other hardware are suspended or otherwise attached to support the weight of traversing pipes, conduits, etc.  A Clevis Hanger is a common and versatile type of pipe hanger designed to attach to a channel strut and was selected for this CP as an example pipe hanger likely to be seen in commercial construction projects.  Clevis Hangers are made from low carbon steel and are typically electro-galvanized with zinc to provide resistance to rust and corrosion.  While not included in this review, note that where a steel hanger will support copper pipes, a plastic coating will need to be applied to the hanger to prevent electrolysis between the two metals."
CP091,Solvent Weld Soil and Waste Pipe,"Soil and waste pipes together remove sanitary wastes from buildings. Typically made from unplasticized PVC, the pipes are “welded” together through the use of a chemical solvent that dissolves a small portion of the joining pipe and pipe fittings to fuse them into a solid piece of plastic. Referred to as “DWV” (drain, waste, and vent) pipes, these pipe systems are not pressurized as water intake plumbing systems would be, however most PVC pipes intended for plumbing are specified for and dual-labeled for either purpose.  Schedule 40 is most typical.  Neither ASTM standards or industry sources limit the composition of PVC for this purpose. The ingredients below are common in PVC piping made in the USA."
CP092,Copper Piping,"Water lines are constructed with Type M, hard temper copper alloy C12200.  Type refers to the thickness of the pipe wall; Type M is the thinnest of the types identified in ASTM B88.  The pipes are seamless and identifiable by a red stripe where trademark  and country of origin information is stamped.  California Building Code indicates that most solders referenced in ASTM B 32 can be used to join copper pipes for potable water systems."
CP094,Intumescent firestop sealant,"Intumescent firestop sealants are used to seal joints and voids in fire-rated assemblies, including around through penetrations such as pipes, HVAC ducting, cables, etc.  The sealant offers good adhesion to a variety of surfaces including metal, plastic, drywall, concrete, and wood.  The sealant contains fire resistant and intumescent materials to prevent the spread of fire and smoke through the protected joints and penetrations.  The most common material is water-based with an elastomeric acrylic polymer binder.  The material is supplied in tubes or pails for application with a caulk gun, trowel or putty knife.  While the primary purpose of these sealants is fire protection, they do also decrease sound transmission through the sealed voids."
CP095,Galvanized Steel Ducts,"Galvanized steel ducts are the most frequently used duct material for heating, ventilation, and air conditioning (HVAC) systems in commercial and institutional buildings. Galvanized steel ducts may come in round, rectangular, or oval shapes of varying sizes depending upon the application. Galvanized coatings are applied to steel sheets through a hot dip in a 99% pure zinc bath, which reacts with the steel sheet surface to form a coating which protects the steel from corrosion. The HVAC Duct Construction Standards for metal and flexible state that duct work will conform to ASTM A653 and ASTM924 standards for G-60 coated galvanized steel of lockforming grade (also known as commercial steel (CS)), unless otherwise specified. When a CS type is not specified, ASTM A653 recommends furnishing to CS type B. The G in G60 refers to the galvanized (zinc) coating, while the number refers to the weight of zinc on the surface of the steel in inch-pound units. The most commonly used galvanized duct work conforms to G60 or G90. G60 is used commonly for dry indoor ducts while G90 is the minimum requirement for use in any outdoor exposure or wet indoor application. Therefore, most specifications refer to galvanized steel conforming to G90 standards. Ductwork is typically available in 18-28 gauge sizes, but gauges 22-28, especially 26, appear to be the most commonly used. Therefore, this CP describes a 26 gauge G90 galvanzied steel duct conforming to ASTM A653."
CP096,Carbon Steel Sprinkler Pipe,"Wet pipe fire suppression systems are the standard for most indoor spaces.  These systems load a network of pipes and sprinkler heads with pressurized water, ready to activate when heat sensors in the sprinkler head are triggered.  ASTM A795 describes the steel pipes used to create this network as being made from different “schedules”  (wall thicknesses) of steel, all with the same requirements for chemical composition.  The needs of a particular fire suppression system dictate the schedule of steel to be used. Steel sprinkler pipes can be galvanized at the customers request (at a price premium), but are typically provided with a “mill coating” of protective lacquer.  Corrosion to the inside of pipes is of significant concern.  Antimicrobial coatings aimed at slowing this corrosion are available from some of the largest pipe manufacturers in the US, so have been included as common in this review.  While all schedules of steel have the same chemical composition, schedule 40 pipes are most common and have been used to calculate dimensions."
CP100,Steel Conduit,"Electric Rigid Steel Conduit (ERSC) is defined by the National Electrical Manufacturers Association as a ""threadable steel raceway of circular cross-section designed for the physical protection and routing of wire conductors and use as an equipment grounding conductor."" There is no one ASTM standard for ERSC, but is manufactured to ANSI standard C80.1 and UL6. According to these standards, ERSC is produced in nominal 10 ft lengths, with threaded ends and one coupling attached. The exterior surface is protected with a metallic zinc coating or alternative protection coating such as PVC while the interior surface is protected with a zinc or organic coating, such as a polyester powder coating. In order to protect the newly galvanized zinc from white rust, an additional chromium coating, most commonly trivalent chromium, is needed. Chromium coatings may also serve as a conversion coating which prepares the surface for paint adhesion. Most frequently, many specifications referred to hot dipped galvanization along with a hot dipped organic coating.  Zinc and chromium coatings are assumed to be present on the interior and exterior surfaces of the conduit and polyester powder coatings are assumed to be present on the interior surface of the conduit."
CP103,HDPE Municipal Water Pipe,"High density polyethylene (HDPE) piping has been used in the US for potable water applications such as home plumbing and distribution mains as well as sewer and drainage applications since at least the early 1970s.  Its use is approved under AWWA C901 and NSF 61 standards.  Common newer resins have the designation PE4710 resin per ASTM D3350.  HDPE pipes commonly contain carbon black for pigment and UV stabilization.  They can additionally have a colored stripe to indicate the approved usage: blue for potable water, green for sewer, and purple for reclaimed water.  This CP is focused on pipe used in potable water applications.  Antioxidant/stabilizers are also included to prevent degradation of the polymer during processing and thermal fusion as well to protect from oxidation during the service life.  Some studies indicate that pipe additives, such as antioxidants, and degradation products may be found in water coming from the pipe over extended periods of time."
